"","the_geom.type","borocode","boroname","borocd","coundist","assemdist","stsendist","congdist","siteid","benchid","category","benchtype","installati","address","geocodeadd","street","crossstree","borough","comdist","busroute","bid","latitude","longitude","femafldz","femafldt","hrcevac"
"1780","Point","1","Manhattan","112","10","72","31","13","2330.0","1358.0","Senior Center","backed",2014-01-15,"54 Nagle Avenue","54 Nagle Avenue","Nagle Avenue","Ellwood Street & Hillside Avenue","Manhattan","112.0","Not Applicable","Not Applicable","40.859993","-73.929129","X","AREA OF MINIMAL FLOOD HAZARD","5"
"1781","Point","2","Bronx","207","14","86","33","15","2566.0","822.0","Municipal Facilities","backless",2014-06-27,"2260 University Avenue","2260 University Avenue","University Avenue","183rd Street and W. Fordham Road","Bronx","207.0","BX03","Not Applicable","40.860224","-73.907207","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1782","Point","1","Manhattan","112","10","72","31","13","2760.0","1726.0","Municipal Facilities","backed",2014-12-04,"95 Nagle Avenue","95 Nagle Avenue","Nagle Avenue","Elwood Street & Sickles Street","Manhattan","112.0","Not Applicable","Not Applicable","40.860429","-73.927892","X","AREA OF MINIMAL FLOOD HAZARD","5"
"1783","Point","2","Bronx","206","15","78","34","15","1203.0","0.0","BID","backed",NA,"2486 Webster Avenue","2486 Webster Avenue","Webster Avenue","East 189th Street and East Fordham Road","Bronx","206.0","Not Applicable","Fordham Road","40.860785","-73.892286","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1784","Point","1","Manhattan","112","10","72","31","13","2984.0","1660.0","Municipal Facilities","backless",2015-01-15,"4600 Broadway","4600 Broadway","Broadway","West 196th Street & Ellwood Street","Manhattan","112.0","M100","Not Applicable","40.86079","-73.930672","X","AREA OF MINIMAL FLOOD HAZARD","6"
"1785","Point","1","Manhattan","112","10","72","31","13","2331.0","80.0","General","backless 2",2017-03-25,"3754 10th Avenue","3754 10th Avenue","10th Avenue","201st & 202nd Street","Manhattan","112.0","M100","Not Applicable","40.860844","-73.921587","AE",NA,"2"
"1786","Point","2","Bronx","206","15","78","34","15","1204.0","0.0","BID","backless",NA,"2492 Webster Avenue","2492 Webster Avenue","Webster Avenue","E 189th Street and East Fordham Road","Bronx","206.0","BX41","Fordham Road","40.860878","-73.892192","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1787","Point","2","Bronx","205","15","86","33","15","2092.0","767.0","Community Health Centers","backed",2013-08-06,"260 East 188th Street","260 East 188th Street","Valentine Avenue","East 187th and 188th Streets","Bronx","205.0","Not Applicable","Not Applicable","40.860915","-73.896118","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1788","Point","2","Bronx","211","13","80","34","14","3572.0","2316.0","Municipal Facilities","backed",2017-05-26,"2401 Bronxwood Avenue","2401 Bronxwood Avenue","Bronxwood Avenue","Waring Avenue & Mace Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.861282","-73.861719","X","AREA OF MINIMAL FLOOD HAZARD",NA
"1789","Point","2","Bronx","211","13","80","34","14","2992.0","1484.0","General","backed",2015-01-06,"2401 Laconia Avenue","2401 Laconia Avenue","Laconia Avenue","Waring Avenue and Mace Avenue","Bronx","211.0","Not Applicable","Not Applicable","40.861415","-73.85592","X","AREA OF MINIMAL FLOOD HAZARD",NA
